country_code	continent_code	country_name	country_iso3	country_number	country_full_name
AX	EU	Åland Islands	ALA	248	Åland Islands
AL	EU	Albania	ALB	8	Republic of Albania
AD	EU	Andorra	AND	20	Principality of Andorra
AT	EU	Austria	AUT	40	Republic of Austria
BY	EU	Belarus	BLR	112	Republic of Belarus
BE	EU	Belgium	BEL	56	Kingdom of Belgium
BA	EU	Bosnia and Herzegovina	BIH	70	Bosnia and Herzegovina
BG	EU	Bulgaria	BGR	100	Republic of Bulgaria
HR	EU	Croatia	HRV	191	Republic of Croatia
CZ	EU	Czechia	CZE	203	Czech Republic
DK	EU	Denmark	DNK	208	Kingdom of Denmark
EE	EU	Estonia	EST	233	Republic of Estonia
FO	EU	Faroe Islands	FRO	234	Faroe Islands
FI	EU	Finland	FIN	246	Republic of Finland
FR	EU	France	FRA	250	French Republic
DE	EU	Germany	DEU	276	Federal Republic of Germany
GI	EU	Gibraltar	GIB	292	Gibraltar
GR	EU	Greece	GRC	300	Hellenic Republic of Greece
GG	EU	Guernsey	GGY	831	Bailiwick of Guernsey
VA	EU	Holy See Vatican	VAT	336	Holy See Vatican (City State)
HU	EU	Hungary	HUN	348	Hungary
IS	EU	Iceland	ISL	352	Republic of Iceland
IE	EU	Ireland	IRL	372	Ireland
IM	EU	Isle of Man	IMN	833	Isle of Man
IT	EU	Italy	ITA	380	Republic of Italy
JE	EU	Jersey	JEY	832	Bailiwick of Jersey
LV	EU	Latvia	LVA	428	Republic of Latvia
LI	EU	Liechtenstein	LIE	438	Principality of Liechtenstein
LT	EU	Lithuania	LTU	440	Republic of Lithuania
LU	EU	Luxembourg	LUX	442	Grand Duchy of Luxembourg
MT	EU	Malta	MLT	470	Republic of Malta
MD	EU	Moldova	MDA	498	Republic of Moldova
MC	EU	Monaco	MCO	492	Principality of Monaco
ME	EU	Montenegro	MNE	499	Montenegro
NL	EU	Netherlands	NLD	528	Kingdom of the Netherlands
MK	EU	North Macedonia	MKD	807	Republic of North Macedonia
NO	EU	Norway	NOR	578	Kingdom of Norway
PL	EU	Poland	POL	616	Republic of Poland
PT	EU	Portugal	PRT	620	Portuguese Republic
RO	EU	Romania	ROU	642	Romania
RU	EU	Russian Federation	RUS	643	Russian Federation
SM	EU	San Marino	SMR	674	Republic of San Marino
RS	EU	Serbia	SRB	688	Republic of Serbia
SK	EU	Slovakia Slovak Republic)	SVK	703	Slovakia Slovak Republic)
SI	EU	Slovenia	SVN	705	Republic of Slovenia
ES	EU	Spain	ESP	724	Kingdom of Spain
SJ	EU	Svalbard & Jan Mayen Islands	SJM	744	Svalbard & Jan Mayen Islands
SE	EU	Sweden	SWE	752	Kingdom of Sweden
CH	EU	Switzerland	CHE	756	Swiss Confederation
UA	EU	Ukraine	UKR	804	Ukraine
GB	EU	United Kingdom of Great Britain and Northern Ireland	GBR	826	United Kingdom of Great Britain & Northern Ireland
